Rk,Player,Pos,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,allstar_selected
1,Precious Achiuwa,C,TOR,-0.6362701600109798,0.28252960148279643,-0.3967750491402718,0.09479361683934505,0.10319930344014955,0.03948567315369995,0.19843647656844876,-0.5624661478384826,-0.3488583003146521,-0.3380488571352659,0.3250740413295354,0.3068360420576087,0.2433184054352636,-0.10257835038881256,0.10703357922043294,0.23577985285317563,-0.08428458734041958,1.2502740771765322,0.8035262300102273,1.0478227385092171,-0.6050581220707468,-0.024229996524091742,0.3067019493358384,-0.004491453467666019,0.26784827189784693,0.011561241363404876,0
2,Steven Adams,C,MEM,0.7635241920131761,-0.24538637654119153,0.7033368412229303,0.7553531996453462,0.14428085776381322,-0.16243821517499385,1.2206408641001572,-1.1359985990018238,-1.2406516314486213,-2.3018311338650768,0.68027368162387,0.534638558130682,0.4930301733895814,0.6138785200847244,-0.21670996286606134,0.6615263878208868,-1.6741722132311057,5.668836566892203,2.158200452793012,3.3930628353839425,0.119782104813815,0.7292297030808353,1.8687084125674944,0.9638659141611107,0.7730808827567782,-0.0762064923672326,0
3,Bam Adebayo,C,MIA,-0.1696720426695945,1.0947080292120086,1.9134599206224523,1.5522187281097286,1.910787693681349,1.5741072244517729,0.7004118454456275,-1.1359985990018238,-1.1514722983352244,-1.6959057473648005,2.8622143291462105,2.955040291407085,0.10776058854577758,0.08596293131475007,1.8552487064875016,1.8855476758530563,0.40491160524133046,2.1875449083283414,2.271089971358244,2.4123260675999663,0.5857508220967478,1.4826894026857622,1.0877051809516665,1.6901339398826933,1.4046216463304424,1.649892271001972,1
4,Ochai Agbaji,SG,UTA,-0.8695692186816725,0.4449652870286389,-0.03007108568587112,0.07382347135344032,-0.2254531311491596,-0.12205343750925507,-0.3309193669747574,0.46989226425553143,0.49834536426261866,0.28977744694935736,-0.48681085077180064,-0.4619974496890135,0.015010503305602396,0.0011193545481468854,-0.34620737970065907,-0.3496216327274271,0.43313446250566223,-0.22258008606202528,-0.7769270299030211,-0.6151656938201339,-0.501509518230095,-0.7776896961290187,-0.2139668717413802,-0.4886701372820546,0.015231966468381286,-0.17860218171964296,0
5,Santi Aldama,PF,MEM,-0.8695692186816725,1.17592587198493,-0.10341187837675125,0.21012941701182156,-0.06112691385450494,-0.06147627101064696,0.061534103238309115,0.24047928379019498,0.31998669803582486,0.27517683522645914,-0.1823540162337996,-0.2626702481250745,0.4359531978571659,0.26507714893313455,-0.02246383761416489,0.02290658536932012,0.1414982707742343,0.31300324602472307,0.5777471928797635,0.5361339901001859,-0.3979609143894433,-0.024229996524091742,0.5670363598744477,-0.3676254663284574,0.26784827189784693,-0.017694669880140866,0
6,Nickeil Alexander-Walker,SG,TOT,-0.4029711013402872,0.4449652870286389,-0.7268086162492324,-0.5028555295089415,-0.47194245709114124,-0.42493927000229575,-0.17576334386726578,0.011066303324858572,-0.03673063441776277,0.5014863169313818,-0.5882964622844676,-0.5758987077255503,-0.10627806970078053,0.14252531582581887,-0.4757047965352568,-0.4560582664693548,-0.24891792138235416,-0.7581634181487733,-0.6640375113377891,-0.7857286099564776,-0.13908940478781412,-0.27538322972573404,0.04636753879722917,-0.24658079537486033,-0.23738433896108435,-0.4272774272897827,0
7,Grayson Allen,SG,MIL,0.29692607467179083,0.9728812650526268,1.730107938895252,0.7972934906171556,0.021036194792822212,0.12025522848517754,-0.21227064342196966,1.158131205651541,1.033421362943,0.6109909048531186,-0.48681085077180064,-0.4619974496890135,-0.08487420387612472,0.36877485387009296,0.10703357922043294,-0.030311731501643697,0.8705887501028036,-0.08868425304033813,-0.15603467779424493,-0.10347694541110292,0.119782104813815,0.7292297030808353,-0.4743012822799894,-0.12553612442126325,-0.11107618624635139,0.1870967088246801,0
8,Jarrett Allen,C,CLE,-0.4029711013402872,0.8104455795067844,1.6567671462043718,1.3425172732506805,1.0480750528844132,0.4231410609782181,1.649601633867928,-1.1359985990018238,-1.1960619648919228,-1.5718005477201658,1.796615408263207,1.3604226788955722,0.878299758233386,1.0663775961732747,0.6250232465588237,0.7679630215628145,0.06153350852529439,3.258711572501837,2.158200452793012,2.6681704418044823,-0.19086370670814,0.4780764698791931,2.1290428231061034,0.3586425593931251,0.7730808827567782,0.7575869780738241,0
9,Jose Alvarado,PG,NOP,-0.4029711013402872,0.5261831298015601,-0.47011584183115196,0.1786741987829643,-0.020045359530841453,0.18083239498378564,-0.476948565193573,0.46989226425553143,0.5429350308193172,0.15107163558182457,-0.23309682199013312,-0.09181836107026954,-0.2989128621226828,-0.3382549525182659,-0.21670996286606134,-0.2964033158564631,0.437838272049717,-0.4903717521053993,-0.438258474207325,-0.5298842357519622,0.482202218256096,1.2315361694841203,-0.4743012822799894,0.23759788843952814,0.3941564246125799,-0.017694669880140866,0
10,Kyle Anderson,PF,MIN,0.7635241920131761,0.851054500893245,0.8500184266046905,0.9021442180466795,0.14428085776381322,0.019293284320830637,0.4174802738966722,-0.4477596576058144,-0.5718066330981444,0.6912942693290585,0.3250740413295354,0.3922619855850112,0.04354899107181014,0.19908770033688766,-0.02246383761416489,0.07612490224028405,0.07094112761340497,0.1791074130030359,0.9728605078580757,0.7493376352706156,1.4659139547422873,1.2315361694841203,1.3480395914902756,0.4796872303467223,0.5204645773273129,0.040817152606950874,0
