Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;PF-C;24;TOT;59;18;23.1;3.5;6.9;0.5;0.4;1.5;0.27;3.1;5.4;0.564;0.529;1;1.6;0.621;2.7;4;6.7;1.4;0.7;1;1.2;1.9;8.4
1;Precious Achiuwa;C;24;TOR;25;0;17.5;3.1;6.8;0.459;0.5;1.9;0.277;2.6;4.9;0.528;0.497;1;1.7;0.571;2;3.4;5.4;1.8;0.6;0.5;1.2;1.6;7.7
1;Precious Achiuwa;PF;24;NYK;34;18;27.1;3.7;7.1;0.529;0.3;1.2;0.262;3.4;5.8;0.586;0.552;1;1.6;0.66;3.2;4.5;7.7;1.1;0.8;1.3;1.2;2.2;8.8
2;Bam Adebayo;C;26;MIA;56;56;34.5;7.6;14.9;0.511;0.1;0.3;0.188;7.6;14.6;0.517;0.513;4.6;6;0.754;2.3;8.1;10.4;3.9;1.1;1;2.3;2.4;19.9
3;Ochai Agbaji;SG;23;TOT;66;17;19.6;2.1;5.2;0.409;0.8;2.7;0.309;1.3;2.4;0.522;0.491;0.4;0.5;0.727;0.7;1.7;2.5;0.9;0.5;0.5;0.7;1.4;5.5
3;Ochai Agbaji;SG;23;UTA;51;10;19.7;2.1;4.9;0.426;0.9;2.8;0.331;1.2;2.1;0.551;0.52;0.3;0.4;0.75;0.7;1.8;2.5;0.9;0.5;0.6;0.7;1.3;5.4
3;Ochai Agbaji;SG;23;TOR;15;7;19.5;2.3;6.2;0.366;0.6;2.6;0.231;1.7;3.6;0.463;0.414;0.6;0.9;0.692;0.9;1.5;2.4;0.9;0.5;0.4;0.9;1.9;5.7
4;Santi Aldama;PF;23;MEM;54;28;25.8;4;9.3;0.431;1.6;4.9;0.34;2.4;4.5;0.529;0.519;0.9;1.4;0.613;1.2;4.4;5.6;2.2;0.7;0.8;1.2;1.4;10.5
5;Nickeil Alexander-Walker;SG;25;MIN;66;18;23.4;2.8;6.3;0.438;1.5;3.9;0.384;1.3;2.4;0.525;0.556;0.6;0.8;0.792;0.5;1.6;2;2.6;0.8;0.5;1;1.8;7.7
6;Grayson Allen;SG;28;PHO;61;61;33.7;4.4;8.7;0.504;2.7;5.7;0.476;1.7;3;0.557;0.659;1.7;1.9;0.889;0.6;3.2;3.8;3;0.9;0.6;1.3;2.2;13.2
7;Jarrett Allen;C;25;CLE;61;61;31.7;6.6;10.5;0.626;0;0.1;0;6.6;10.4;0.631;0.626;3.1;4.2;0.733;3.4;7.3;10.7;2.7;0.7;1.2;1.6;2.1;16.2
8;Jose Alvarado;PG;25;NOP;45;0;17.2;2.5;6;0.417;1.3;3.5;0.369;1.2;2.5;0.482;0.524;0.6;0.9;0.69;0.4;1.8;2.1;1.9;1.1;0.3;0.8;1.5;7
9;Kyle Anderson;PF;30;MIN;63;7;22.4;2.5;5.3;0.471;0.1;0.6;0.211;2.3;4.7;0.505;0.483;1.2;1.7;0.7;0.8;2.8;3.5;4.1;0.8;0.5;1.3;1.5;6.3
10;Giannis Antetokounmpo;PF;29;MIL;64;64;35;11.4;18.6;0.616;0.5;1.8;0.292;10.9;16.8;0.65;0.63;7.4;11.2;0.665;2.5;8.7;11.2;6.4;1.2;1;3.4;2.9;30.8
11;Thanasis Antetokounmpo;PF;31;MIL;28;0;4.8;0.5;0.9;0.5;0;0;0;0.5;0.9;0.52;0.5;0;0.1;0;0.2;0.2;0.4;0.5;0.2;0.1;0.4;0.8;0.9
12;Cole Anthony;PG;23;ORL;66;0;22.9;4;9.4;0.429;1;3.3;0.316;3;6.1;0.489;0.484;2.5;3.1;0.824;0.8;3.1;3.9;3;0.8;0.5;1.6;2.4;11.6
13;OG Anunoby;SF;26;TOT;43;43;34.1;5.8;11.6;0.498;2.1;5.5;0.377;3.7;6.1;0.606;0.587;1.5;2;0.767;1;3.3;4.3;2.3;1.3;0.7;1.6;2.3;15.2
13;OG Anunoby;SF;26;TOR;27;27;33.3;5.8;11.9;0.489;2.3;6;0.374;3.6;5.9;0.608;0.584;1.2;1.7;0.717;0.9;3;3.9;2.7;1;0.5;1.6;2.3;15.1
13;OG Anunoby;SF;26;NYK;16;16;35.3;5.8;11.2;0.514;1.8;4.6;0.384;4;6.6;0.604;0.592;2.1;2.5;0.825;1.1;3.8;4.9;1.6;1.8;0.9;1.5;2.4;15.3
14;Ryan Arcidiacono;PG;29;NYK;20;0;2.3;0;0.3;0;0;0.3;0;0;0;0;0;0;0;0;0;0.4;0.4;0.2;0.1;0;0.1;0.3;0
15;Deni Avdija;SF;23;WAS;63;63;29;5.2;10.2;0.512;1.1;2.9;0.388;4.1;7.3;0.561;0.567;2.4;3.3;0.738;1.2;5.7;6.9;3.7;0.8;0.4;2;2.5;14
